element,r_core,r_boundary,dominant_regime,frac_damage_before_nonreturn,frac_damage_only,frac_nonreturn_before_damage,frac_coupled,frac_no_transition,mean_first_damage,mean_first_nonreturn,mean_final_damage,mean_max_r,erc_rank,model_axis
N,2.0440081275108737,2.7461280628963545,no-transition,0.2444444444444444,0.0711111111111111,0.1155555555555555,0.0266666666666666,0.5422222222222223,2.9164077669902917,2.825172413793104,2.607725953040372,2.4837310246077338,60,60
P,0.9906508865816316,1.5745725943803714,no-transition,0.24,0.0755555555555555,0.3111111111111111,0.04,0.3333333333333333,2.5972000000000004,2.494210526315789,7.199819514427878,2.90005074699722,61,61
Mo,0.5727969819846134,1.0861193783762313,nonreturn-before-damage,0.2355555555555555,0.0666666666666666,0.4088888888888889,0.0533333333333333,0.2355555555555555,2.4206976744186046,2.32656050955414,12.02986904703525,3.292097424804492,62,62
W,0.6680711713729248,1.1943099820520402,nonreturn-before-damage,0.2222222222222222,0.0755555555555555,0.4044444444444444,0.0444444444444444,0.2533333333333333,2.4770238095238093,2.360993377483444,10.587007997267056,3.177521790583103,63,63
Sn,0.7383025108309158,1.2702320996850935,nonreturn-before-damage,0.2177777777777777,0.0755555555555555,0.4,0.04,0.2666666666666666,2.514242424242424,2.3955405405405408,9.679876242841328,3.104635117865088,64,64
Pb,0.8007343324809743,1.3290842815055826,nonreturn-before-damage,0.2,0.0622222222222222,0.4266666666666667,0.0266666666666666,0.2844444444444444,2.540124223602485,2.4325170068027213,8.964789501372747,3.046559845480008,65,65
Ra,0.9108459618428458,1.466208875884364,nonreturn-before-damage,0.1911111111111111,0.0711111111111111,0.3777777777777777,0.0444444444444444,0.3155555555555555,2.570064935064935,2.460434782608696,7.8756884983392785,2.9567849097407866,66,66
U,0.5324616067011027,1.0121834080669203,nonreturn-before-damage,0.1866666666666666,0.0577777777777777,0.4977777777777777,0.0311111111111111,0.2266666666666666,2.398275862068965,2.300807453416149,12.730188597720325,3.347231373319297,67,67
Ne,3.243092560416563,4.159414498192401,no-transition,0.1822222222222222,0.0755555555555555,0.0,0.0,0.7422222222222222,3.1808620689655176,3.124878048780488,0.8262903989509608,2.2926617804013345,68,68
V,0.728169735036288,1.2299277812363432,nonreturn-before-damage,0.16,0.0711111111111111,0.4933333333333333,0.0133333333333333,0.2622222222222222,2.5162048192771085,2.381666666666667,9.80362751380788,3.1146263805671217,69,69
Ce,0.2861716192641531,0.6992683925692718,nonreturn-before-damage,0.1511111111111111,0.08,0.5822222222222222,0.04,0.1466666666666666,2.269322916666667,2.119712643678161,18.797866471110076,3.818629358306231,70,70
F,3.327692952196485,4.500452675854631,no-transition,0.1466666666666666,0.1066666666666666,0.0,0.0,0.7466666666666667,3.22280701754386,3.196969696969697,0.7551440927478641,2.283621110151619,71,71
Ho,0.2470944841734052,0.6289577588124338,nonreturn-before-damage,0.1422222222222222,0.0666666666666666,0.6533333333333333,0.0044444444444444,0.1333333333333333,2.2402051282051283,2.102222222222222,20.18711708120593,3.9266136254273767,72,72
Rn,1.855577325226162,2.4642355086114454,no-transition,0.1288888888888889,0.0666666666666666,0.2755555555555555,0.0177777777777777,0.5111111111111111,2.858272727272727,2.732842105263158,3.093501270846009,2.5310889505511587,73,73
Nd,0.4352969939383303,0.8530154682397727,nonreturn-before-damage,0.1244444444444444,0.0533333333333333,0.6133333333333333,0.0133333333333333,0.1955555555555555,2.371988950276243,2.2280473372781064,14.696863359976408,3.500765891709553,74,74
Er,0.2821924110234526,0.6758027875720284,nonreturn-before-damage,0.1244444444444444,0.0844444444444444,0.6311111111111111,0.0177777777777777,0.1422222222222222,2.275077720207254,2.1000574712643685,18.931927713314067,3.8290317878322,75,75
Ni,0.721627974593685,1.1813794923258405,nonreturn-before-damage,0.1022222222222222,0.0666666666666666,0.5511111111111111,0.0177777777777777,0.2622222222222222,2.509698795180723,2.357350993377484,9.884749513214034,3.1211662972298417,76,76
